brand,processor_brand,processor_name,ram_,ssd,hdd,weight,latest_price
ASUS,Intel,Core i3,8,512,0,Casual,42990
Lenovo,Intel,Core i3,8,512,0,ThinNlight,38990
DELL,Intel,Core i3,8,512,0,ThinNlight,45990
HP,Intel,Core i3,8,512,0,ThinNlight,42490
HP,Intel,Core i3,8,512,0,ThinNlight,43970
ASUS,Intel,Core i3,4,512,0,ThinNlight,39990
MSI,Intel,Core i3,8,512,0,ThinNlight,48990
HP,Intel,Core i3,8,512,0,Casual,54990
MSI,Intel,Core i3,8,512,0,ThinNlight,40990
ASUS,Intel,Core i3,8,512,0,ThinNlight,41990
Lenovo,Intel,Core i3,8,512,0,ThinNlight,54990
ASUS,Intel,Core i3,8,512,0,Casual,44990
HP,Intel,Core i3,8,512,0,Casual,41250
HP,Intel,Core i3,8,512,0,ThinNlight,44990
ASUS,Intel,Core i3,8,512,0,Casual,42990
DELL,Intel,Core i3,8,512,0,Casual,60790
HP,Intel,Core i3,8,512,0,Casual,45650
DELL,Intel,Core i3,8,512,0,ThinNlight,41990
DELL,Intel,Core i3,8,512,0,ThinNlight,45490
ASUS,Intel,Core i3,8,512,0,ThinNlight,44990
Lenovo,Intel,Core i3,8,512,0,ThinNlight,42990
HP,Intel,Core i3,4,512,0,ThinNlight,45490
HP,Intel,Core i3,4,512,0,Casual,38799
HP,Intel,Core i3,4,512,0,Casual,69267
ASUS,Intel,Core i3,4,512,0,Casual,51649
HP,Intel,Core i3,4,512,0,ThinNlight,47990
ASUS,Intel,Core i3,4,512,0,Casual,40990
ASUS,Intel,Core i3,4,512,0,ThinNlight,42990
ASUS,Intel,Core i3,4,512,0,Casual,44890
ASUS,Intel,Core i3,4,512,0,Casual,41490
HP,Intel,Core i3,4,512,0,ThinNlight,50990
HP,Intel,Core i3,4,512,0,ThinNlight,48900
ASUS,Intel,Core i3,4,512,0,Casual,40990
DELL,Intel,Core i3,4,512,0,Casual,41790
Lenovo,Intel,Core i3,4,512,0,Casual,57999
DELL,Intel,Core i3,8,512,0,ThinNlight,45930
HP,Intel,Core i3,8,512,0,Casual,55490
ASUS,Intel,Core i3,8,0,1024,Casual,32890
Lenovo,Intel,Core i3,8,0,1024,ThinNlight,35990
DELL,Intel,Core i3,8,0,1024,ThinNlight,42490
DELL,Intel,Core i3,8,0,1024,ThinNlight,42190
DELL,Intel,Core i3,8,0,1024,ThinNlight,39490
HP,Intel,Core i3,8,0,1024,ThinNlight,43690
ASUS,Intel,Core i3,4,0,1024,Casual,35990
